ID,Bloque,Criterio,Canal_de_verificacion,Estado,Clase,Observacion,Accion
A01,Repositorio,Arbol material legible,inspeccion repo fresco,PENDIENTE,HECHO,,
A02,Repositorio,Estructura publica veraz,inspeccion repo fresco,PENDIENTE,HECHO,,
A03,Gobierno,Dependencias superiores declaradas,README y docs gobierno,PENDIENTE,HECHO,,
A04,Gobierno,Alcance y no-alcance sobrios,docs gobierno,PENDIENTE,HECHO,,
A05,Paquete,Instalacion local correcta,instalacion editable,PENDIENTE,HECHO,,
A06,Paquete,Suite de pruebas en verde,pytest / CI,PENDIENTE,HECHO,,
A07,Paquete,Estructura del paquete real,inspeccion src y tests,PENDIENTE,HECHO,,
A08,Laboratorio,Laboratorio minimo existente,inspeccion laboratorio,PENDIENTE,HECHO,,
A09,Laboratorio,Laboratorio ejecutable,script y salida material,PENDIENTE,HECHO,,
A10,Laboratorio,Conservacion de U,salida y analisis,PENDIENTE,HECHO,,
A11,Calidad,Registros minimos poblados,docs/calidad,PENDIENTE,HECHO,,
A12,Calidad,Deuda viva explicita,docs/calidad,PENDIENTE,HECHO,,
A13,Sincronizacion,Contraste con Pliego,lectura material,PENDIENTE,HECHO,,
A14,Sincronizacion,Contraste con FT-SV-IA/001,lectura material,PENDIENTE,HECHO,,
A15,Sincronizacion,Contraste con seguridad estructural,lectura material,PENDIENTE,HECHO,,
A16,Sincronizacion,Contraste con NLP vigente,lectura material,PENDIENTE,HECHO,,
A17,Publicacion,No sobreactua el estado del motor,README y docs,PENDIENTE,HECHO,,
A18,Publicacion,Puede leerse por terceros,documentos y laboratorio,PENDIENTE,HECHO,,
A19,Adversarial,Riesgo de backend clandestino,inspeccion tecnica,PENDIENTE,U,,
A20,Adversarial,Riesgo de deriva semantica,lectura cruzada,PENDIENTE,U,,
